ID_REF	GSM356334	GSM356337	GSM356335	GSM356336
ENSMUSG00000001750_at	4.976442	4.976442	5.661688	4.976442
ENSMUSG00000001751_at	8.53589	8.116364	7.950083	8.467294
ENSMUSG00000001755_at	8.909841	9.416435	9.099481	9.863439
ENSMUSG00000001761_at	7.672922	7.2698	7.07037	7.94709
ENSMUSG00000001763_at	5.634914	5.634914	6.144145	5.630428
ENSMUSG00000001767_at	5.159093	4.947159	5.159093	5.396363
ENSMUSG00000001768_at	6.602708	6.84495	7.983669	6.929718
ENSMUSG00000001773_at	8.610073	7.522843	8.821713	8.924629
ENSMUSG00000001774_at	8.59017	8.701579	6.350582	8.54716
ENSMUSG00000001783_at	9.369829	9.455233	9.594987	9.509142
ENSMUSG00000001785_at	6.083597	6.039665	6.083597	6.43934
ENSMUSG00000001786_at	8.950467	9.010036	9.785744	9.683341
ENSMUSG00000001794_at	10.674533	10.645473	10.723351	10.653531
ENSMUSG00000001802_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001815_at	2.321928	2.321928	2.391336	2.321928
ENSMUSG00000001819_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001823_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001827_at	11.792878	11.878011	11.170731	11.886787
ENSMUSG00000001829_at	7.069468	6.509698	6.225595	6.921044
ENSMUSG00000001833_at	9.943093	9.790991	9.790991	9.759028
ENSMUSG00000001844_at	7.747651	7.465713	7.745525	7.390891
ENSMUSG00000001847_at	11.509658	11.406325	11.709719	11.639294
ENSMUSG00000001855_at	3.082449	3.082449	3.163303	3.082449
ENSMUSG00000001864_at	9.069074	9.066474	9.272363	8.828329
ENSMUSG00000001865_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001870_at	4.996254	4.573506	3.970334	3.845451
ENSMUSG00000001891_at	9.687953	9.460971	9.442945	9.7787
ENSMUSG00000001909_at	5.846756	5.846756	5.925319	5.846756
ENSMUSG00000001910_at	2.759144	2.759144	3.533276	2.759144
ENSMUSG00000001911_at	8.293995	8.80493	8.576452	7.914709
ENSMUSG00000001918_at	6.847394	6.847394	7.045671	5.451044
ENSMUSG00000001924_at	4.703956	4.703956	4.703956	4.703956
ENSMUSG00000001930_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001942_at	7.166254	7.181754	5.714306	7.644429
ENSMUSG00000001943_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001946_at	8.917863	9.306837	8.725781	8.952795
ENSMUSG00000001948_at	5.991024	5.751478	4.001871	4.71345
ENSMUSG00000001962_at	7.244924	7.466919	7.078303	7.293998
ENSMUSG00000001964_at	2.828862	2.828862	3.211496	2.828862
ENSMUSG00000001985_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001986_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001988_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001995_at	3.685894	3.685894	3.685894	3.685894
ENSMUSG00000001998_at	8.59228	8.389326	7.68854	8.298466
ENSMUSG00000001999_at	10.037987	9.786204	9.828283	9.945819
ENSMUSG00000002006_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000002007_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000002010_at	11.825341	11.877144	11.471208	11.883066
ENSMUSG00000002012_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000002014_at	10.210939	9.640023	9.313867	10.051513
ENSMUSG00000002015_at	10.803728	10.958024	10.384718	10.69177
ENSMUSG00000002017_at	8.486341	8.229608	7.605072	8.473739
ENSMUSG00000002020_at	2.321928	2.321928	6.384182	2.321928
ENSMUSG00000002028_at	6.274238	6.690521	6.371703	5.417586
ENSMUSG00000002031_at	8.781235	8.814299	8.904739	8.889864
